TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	18/10/09
TIME	12:12:34
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	1
XUNITS	SEC
YUNITS	INTENSITY
FIRSTX	0.0000
LASTX	30.0000
NPOINTS	31
FIRSTY	3.45330
MAXY	3.51110
MINY	3.43300
XYDATA
0.0000	3.4533
1.0000	3.4408
2.0000	3.433
3.0000	3.4631
4.0000	3.4507
5.0000	3.4624
6.0000	3.4782
7.0000	3.4823
8.0000	3.4595
9.0000	3.4391
10.0000	3.4848
11.0000	3.46
12.0000	3.5024
13.0000	3.5096
14.0000	3.5011
15.0000	3.4456
16.0000	3.4814
17.0000	3.4804
18.0000	3.4965
19.0000	3.4692
20.0000	3.465
21.0000	3.4685
22.0000	3.5111
23.0000	3.4967
24.0000	3.4676
25.0000	3.4784
26.0000	3.4596
27.0000	3.4502
28.0000	3.4976
29.0000	3.439
30.0000	3.4615
