TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	18/10/09
TIME	11:50:34
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	1
XUNITS	SEC
YUNITS	INTENSITY
FIRSTX	0.0000
LASTX	30.0000
NPOINTS	31
FIRSTY	295.76801
MAXY	304.75281
MINY	295.52570
XYDATA
0.0000	295.768
1.0000	295.526
2.0000	296.26
3.0000	296.26
4.0000	296.633
5.0000	296.812
6.0000	296.974
7.0000	297.44
8.0000	298.366
9.0000	298.432
10.0000	298.724
11.0000	298.715
12.0000	299.052
13.0000	299.815
14.0000	299.893
15.0000	299.526
16.0000	300.383
17.0000	300.569
18.0000	301.325
19.0000	301.273
20.0000	301.539
21.0000	302.121
22.0000	302.27
23.0000	302.914
24.0000	302.939
25.0000	302.655
26.0000	303.914
27.0000	303.859
28.0000	303.732
29.0000	304.753
30.0000	304.737
