TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	18/10/09
TIME	12:01:31
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	1
XUNITS	SEC
YUNITS	INTENSITY
FIRSTX	0.0000
LASTX	30.0000
NPOINTS	31
FIRSTY	41.95090
MAXY	57.79810
MINY	41.95090
XYDATA
0.0000	41.9509
1.0000	42.1673
2.0000	42.5156
3.0000	43.3702
4.0000	43.9002
5.0000	44.3645
6.0000	45.0656
7.0000	45.7671
8.0000	46.179
9.0000	46.3812
10.0000	46.7065
11.0000	47.7035
12.0000	48.0524
13.0000	48.5259
14.0000	49.4388
15.0000	49.4343
16.0000	50.2684
17.0000	50.3703
18.0000	51.0494
19.0000	51.6039
20.0000	52.3816
21.0000	52.9099
22.0000	53.2298
23.0000	54.0611
24.0000	54.2849
25.0000	55.1376
26.0000	56.0658
27.0000	56.3993
28.0000	57.0633
29.0000	57.4471
30.0000	57.7981
