LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(pixel),(pixel),(pixel),(pixel),(pixel/sec),(pixel/sec),(pixel/sec),(pixel/sec),(pixel/sec),(quality),(pixel),(pixel),,(pixel/sec),,(rad/sec)
Track_0,0,0,4,0,0,0,0,0,3.0,1.0,4.0,0.26465964610762205,31.723619380966902,16.71332292334895,0.0,0.27080409400881844,0.2981134151609857,0.22026145297131391,0.2940374138941556,0.04381863038556004,52.40553379058838,0.8124122820264552,0.26465964610762205,0.3257701193874907,0.08821988203587401,0.3257701193874906,2.7057784818701194
Track_1,1,1,73,6,0,0,0,1,78.0,0.0,78.0,0.11846703710810182,57.96405183915702,15.783558178097064,0.0,0.10709480942878731,0.24885792293081516,0.004274684297962075,0.11012208388658658,0.06211808306713893,63.164894992358064,8.035022426727522,0.25085058557690226,0.014743834032626427,0.0015188081680525874,0.014181902709883608,1.9321917530822814
Track_2,2,2,3,0,0,0,0,0,2.0,2.0,4.0,0.13382362430570402,62.184888507154845,16.51638879652886,0.0,0.10118101517777994,0.13012281128359002,0.07223921907196988,0.13012281128359002,0.040929880572273425,60.569576263427734,0.20236203035555989,0.13382362430570402,0.6613079739839012,0.06691181215285201,0.6613079739839012,1.7983782253342908
Track_3,3,3,8,0,0,0,0,0,7.0,0.0,7.0,0.13483836622533796,49.36766581443689,22.51167401226501,0.0,0.12721418021898456,0.20968203924291326,0.03049458864901931,0.12322466000637797,0.07622468786824654,54.93028545379639,0.8904992615328919,0.2959840727743104,0.1514188411489856,0.019262623746476852,0.15141884114898563,2.2288377789532587
Track_4,4,4,12,0,0,0,0,0,11.0,0.0,11.0,0.7781710709745069,74.41774012305474,22.591907582950977,0.0,0.24723325760613438,0.5913231576892657,0.016144691115015517,0.1809239858854046,0.1598871677157282,83.83898131052653,2.719565833667478,0.7781710709745069,0.2861379788424177,0.07074282463404608,0.28613797884241765,2.050827540566821
Track_5,5,5,9,2,0,0,0,1,10.0,0.0,10.0,0.09136055860405227,30.290453345142243,19.541178748533746,0.0,0.12759862011731754,0.2784144649156295,0.022521420717748004,0.1482708001621175,0.10145348539511291,60.66578504774306,1.0808806633281698,0.2643081343514829,0.08452418634518026,0.009136055860405227,0.07159995815005911,2.195908879839295
Track_6,6,6,17,1,0,0,0,2,18.0,0.0,18.0,0.9421407884574454,31.335434118068942,23.643347273711885,0.0,0.1533865547931621,0.7215811396969468,0.013822921831379733,0.1139179723206903,0.16979507759241372,92.06330916460823,2.5676069811418665,1.0711317481722207,0.3669334112958582,0.05234115491430252,0.3412369160053386,1.7246739606851738
