TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	18/10/09
TIME	11:45:40
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	1
XUNITS	SEC
YUNITS	INTENSITY
FIRSTX	0.0000
LASTX	30.0000
NPOINTS	31
FIRSTY	388.25879
MAXY	406.75720
MINY	388.25879
XYDATA
0.0000	388.259
1.0000	388.954
2.0000	389.537
3.0000	389.333
4.0000	390.268
5.0000	391.663
6.0000	391.79
7.0000	392.578
8.0000	392.834
9.0000	392.98
10.0000	394.289
11.0000	394.232
12.0000	395.554
13.0000	395.368
14.0000	396.734
15.0000	396.613
16.0000	397.666
17.0000	398.372
18.0000	399.084
19.0000	399.323
20.0000	400.456
21.0000	401.358
22.0000	401.435
23.0000	402.399
24.0000	402.831
25.0000	403.114
26.0000	403.585
27.0000	404.671
28.0000	405.422
29.0000	405.65
30.0000	406.757
